smiles,PfDHFR,PfCRT,PfATP4,rrs_score,rrs_class,H1_entropy,H1_count,H1_max_pers,H1_mean_pers,H1_birth_mean,H1_birth_std,H1_death_mean,H1_death_std,H1_pers_q25,H1_pers_q50,H1_pers_q75,tfp_valid
CNCCCNc1ccnc2cc(Cl)ccc12,-6.3,-5.1,-7.3,,Unknown,1.6199152,4.0,1.378635,0.6367655,2.3488986,0.4435167,2.9856641,0.34898984,0.63116664,1.0066742,1.3769419,True
COc1ccccc1CNC(=O)CCn1c(=O)[nH]c2ccccc2c1=O,-1.1,-7.1,-10.3,8.7,A,1.7380530834197998,3.0,1.3875995874404907,0.5929179191589355,2.404948711395264,0.3528572916984558,2.997866630554199,0.2352356761693954,1.3639111518859863,1.3860595226287842,1.3868296146392822,True
CC(C)(C)c1ccc(O)c(CNC2CCCCC2)c1,-4.5,-5.9,-9.9,,Unknown,1.9973456,5.0,1.3731074,0.4408341,2.3776157,0.2834332,2.81845,0.29421625,0.6370852,0.66480803,0.8639226,True
CN(C)c1ccc(C=Cc2nc(=O)c3ccccc3o2)cc1,13.3,-6.3,-10.2,,Unknown,1.835555,5.0,1.3912439,0.76841253,2.3744893,0.5759769,3.142902,0.5186951,0.70719886,1.2588546,1.3828014,True
CCN(CC)CCNc1ccnc2cc(Cl)ccc12,-4.3,-4.9,-7.7,,Unknown,2.0113742,6.0,1.3787851,0.5998509,2.3507874,0.37621784,2.9506383,0.30911267,0.63334495,0.6693357,1.2011292,True
CC1CN(C(=O)c2sc3ccccc3c2Cl)CC(C)O1,1.7,-6.1,-7.1,,Unknown,1.4232348,2.0,1.3571594,0.5069371,2.4434476,0.30183092,2.9503846,0.16359873,0.96406806,1.0950985,1.2261289,True
CCCN(CCC)CC(O)COc1ccccc1C(=O)Nc1ccccc1,-2.5,-6.3,-8.1,,Unknown,2.266605,5.0,1.388358,0.4794317,2.3553693,0.2726347,2.834801,0.3393388,0.623014,0.7883377,1.3881887,True
C=CC12CCN(CC1)C(C(O)c1ccnc3ccc(OC)cc13)C2,-1.3,-6.5,-9.3,,Unknown,2.0960708,7.0,1.3760192,0.7829303,2.237471,0.21735537,3.0204012,0.16624156,0.5972599,0.77053046,1.174091,True
OC(CNC1CCCCC1)Cn1c2ccccc2c2ccccc21,-4.0,-5.9,-9.3,,Unknown,2.202055,4.0,1.3707461,0.51966727,2.4002707,0.32654622,2.9199378,0.23302235,1.051185,1.2516466,1.3701338,True
Cc1cc(C)c2c(c1)OCN(Cc1ccccc1Cl)C2,-1.4,-5.9,-9.3,,Unknown,1.4314047,3.0,1.3904186,0.9022574,2.3523824,0.5111044,3.2546399,0.18300298,1.2558575,1.3821424,1.3862805,True
CCN(CC)CCNc1ncnc2c1[nH]c1ccc(Cl)cc12,-4.0,-5.6,-8.1,,Unknown,1.9002405,4.0,1.3896105,0.6388495,2.3590577,0.4239011,2.9979072,0.3015815,0.98152417,1.2405481,1.3601539,True
COc1ccc2c(=O)cc(C(Cl)(Cl)Cl)oc2c1,-2.9,-5.6,-8.4,,Unknown,1.1142218,2.0,1.3831129,0.80271083,2.292096,0.3397743,3.0948067,0.21854082,1.2958728,1.3249528,1.3540329,True
CCCc1cc(O)c2c3c(c(=O)oc2c1)CN(C)CC3,-4.2,-6.3,-9.0,,Unknown,1.65368,4.0,1.4017075,0.7084231,2.3039398,0.28802857,3.012363,0.342291,0.95273197,1.1915563,1.3145856,True
CCOC(=O)c1c[nH]c2ccc(CC)cc2c1=O,-4.8,-5.5,-8.3,,Unknown,1.1125114,2.0,1.4012105,0.6350851,2.7283516,0.8390293,3.3634367,0.59620184,1.374408,1.3833421,1.3922763,True
Cc1cc(Nc2ccc(Cl)cc2)n2nc(C(F)(F)F)nc2n1,-3.9,-6.9,-9.2,,Unknown,1.4739734,4.0,1.3767587,0.62164813,2.384379,0.45117873,3.006027,0.37446138,0.8588859,1.1388147,1.3225719,True
COc1cccc(C=Cc2nc(=O)c3ccccc3o2)c1OC,7.3,-6.4,-9.9,,Unknown,1.5736555,3.0,1.3903449,0.8338308,2.286804,0.36362627,3.1206348,0.20215493,1.3220524,1.3805957,1.3854703,True
CCOc1cc2c(cc1OCC)C(c1cc(OC)c(O)cc1Cl)NCC2,2.9,-6.1,-7.3,,Unknown,1.8917305,4.0,1.4028122,0.6471306,2.3709726,0.4187554,3.0181031,0.3306362,1.018518,1.2551692,1.3795667,True
CCOC(=O)c1cn(CC)c2cc(N3CCCCC3)c(F)cc2c1=O,6.1,-6.1,-7.6,,Unknown,1.9090077,5.0,1.3919387,0.54476655,2.5275977,0.63785195,3.0723643,0.5182806,0.6224756,0.75597024,1.358413,True
Cc1ccc(Nc2nc(NCCO)c3ccccc3n2)cc1C,2.0,-6.7,-10.3,,Unknown,1.9804496,4.0,1.39109,0.7163385,2.3136778,0.28741908,3.0300162,0.20722593,1.1269269,1.3466895,1.3881605,True
COc1ccc2c(c1)OC(O)(C(F)(F)C(F)(F)F)CC2=O,-6.8,-6.1,-9.4,,Unknown,1.6469897,2.0,1.3829472,0.54844064,2.677425,0.66929215,3.2258656,0.5698433,1.1133893,1.203242,1.2930946,True
CCOC(=O)c1ccc2[nH]c(-c3ccccc3)cc(=O)c2c1,4.0,-6.0,-10.0,,Unknown,1.4569463,3.0,1.4024421,0.788366,2.3155642,0.37465632,3.1039302,0.22563519,1.369072,1.3808874,1.3916647,True
COc1ccc(C(=O)Nc2nonc2-c2ccc(OC)c(OC)c2)cc1Cl,1.8,-6.9,-9.4,,Unknown,1.864917,4.0,1.4024334,0.71477604,2.3069315,0.30121252,3.0217075,0.21811488,0.913262,1.2182996,1.3949804,True
Cc1ccc(Nc2nc(-c3ccccn3)cs2)cc1,-0.8,-6.2,-8.8,,Unknown,1.4453849,2.0,1.3951898,0.6333547,2.513784,0.45567128,3.1471386,0.18656541,1.3477442,1.3635594,1.3793745,True
CCOc1cc(Cl)c(C(C)NC(=O)c2ccccc2)cc1OCC,-0.4,-5.8,-7.5,,Unknown,1.9285842,4.0,1.387333,0.47596252,2.3800645,0.37434685,2.856027,0.34565833,0.6250064,1.0106809,1.3846172,True
CCCCc1ccc(NS(=O)(=O)c2cc3c4c(c2)CCN4C(=O)CC3)cc1,-2.8,-6.5,-10.9,,Unknown,1.986427,7.0,1.4055994,1.008235,2.4809165,0.5577655,3.4891515,0.45294824,0.9705614,1.2102311,1.3178934,True
Oc1ccc(Cl)cc1CNc1nc2ccccc2[nH]1,-5.5,-6.5,-9.4,,Unknown,1.6547039,5.0,1.4025887,0.73257995,2.2882476,0.4629882,3.0208275,0.36395466,0.5602598,1.0749209,1.3783567,True
CC(C)(C)CC(C)(C)NCC(O)COc1ccc2c(c1)CCC2,-3.8,-5.5,-9.3,,Unknown,2.0502815,6.0,1.3885094,0.5622666,2.2927625,0.22175506,2.855029,0.19775103,0.6669368,0.7427951,0.86238664,True
