GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
131,-0.0,-0.0,-0.0,0.0,0.0,0.0,-34.07,2.72,-0.0,0.0,11.21,-4.42,-31.35,6.79,-24.56
141,0.0,0.0,-0.0,0.0,0.0,0.0,-30.58,-3.13,-0.0,0.0,16.12,-3.91,-33.71,12.21,-21.5
151,0.0,0.0,-0.0,0.0,0.0,0.0,-30.75,6.03,0.0,0.0,7.12,-3.97,-24.72,3.16,-21.57
161,0.0,0.0,0.0,0.0,0.0,0.0,-29.61,1.07,-0.0,0.0,10.16,-3.72,-28.54,6.43,-22.11
171,-0.0,-0.0,0.0,0.0,0.0,0.0,-28.53,-2.05,-0.0,0.0,14.39,-3.64,-30.58,10.74,-19.84
181,-0.0,-0.0,-0.0,0.0,0.0,0.0,-23.91,3.36,-0.0,0.0,7.27,-3.25,-20.55,4.03,-16.52
191,0.0,-0.0,-0.0,0.0,0.0,0.0,-31.56,0.66,-0.0,-0.0,14.82,-4.53,-30.9,10.3,-20.6
201,-0.0,-0.0,-0.0,0.0,0.0,0.0,-30.57,0.59,-0.0,-0.0,10.76,-3.77,-29.98,6.99,-22.99
211,0.0,-0.0,-0.0,0.0,0.0,0.0,-27.89,0.65,0.0,0.0,11.4,-3.76,-27.24,7.64,-19.6
221,-0.0,-0.0,0.0,0.0,0.0,0.0,-29.05,-1.25,0.0,0.0,12.29,-3.79,-30.3,8.5,-21.79
231,0.0,0.0,-0.0,0.0,0.0,0.0,-30.72,0.82,0.0,-0.0,11.72,-3.74,-29.9,7.99,-21.91
241,0.0,-0.0,0.0,0.0,0.0,0.0,-28.15,-2.06,0.0,0.0,12.61,-3.14,-30.21,9.47,-20.75
251,0.0,0.0,0.0,0.0,0.0,0.0,-24.48,-5.16,0.0,-0.0,14.57,-2.83,-29.63,11.74,-17.89
261,-0.0,-0.0,0.0,0.0,0.0,0.0,-27.24,-1.82,0.0,-0.0,12.19,-3.38,-29.06,8.8,-20.26
271,-0.0,-0.0,-0.0,0.0,0.0,0.0,-30.25,-4.26,0.0,0.0,15.29,-3.81,-34.51,11.48,-23.04
281,0.0,0.0,0.0,0.0,0.0,0.0,-30.77,-2.77,-0.0,0.0,14.19,-3.94,-33.54,10.26,-23.29
291,-0.0,0.0,-0.0,0.0,0.0,0.0,-32.78,-1.56,0.0,0.0,11.98,-3.78,-34.34,8.2,-26.13
301,-0.0,-0.0,0.0,0.0,0.0,0.0,-30.16,-3.74,-0.0,-0.0,14.69,-3.69,-33.89,11.0,-22.89
311,-0.0,0.0,-0.0,0.0,0.0,0.0,-28.14,-2.34,-0.0,0.0,12.49,-3.16,-30.48,9.33,-21.16
321,-0.0,-0.0,-0.0,0.0,0.0,0.0,-27.52,-5.39,0.0,0.0,15.17,-3.06,-32.91,12.11,-20.8
331,0.0,0.0,0.0,0.0,0.0,0.0,-30.04,0.65,-0.0,0.0,10.07,-3.76,-29.39,6.31,-23.08
341,0.0,0.0,0.0,0.0,0.0,0.0,-33.28,1.23,-0.0,-0.0,12.68,-4.06,-32.05,8.62,-23.43
351,0.0,0.0,-0.0,0.0,0.0,0.0,-31.58,-7.39,-0.0,-0.0,19.82,-3.85,-38.97,15.97,-22.99
361,-0.0,-0.0,-0.0,0.0,0.0,0.0,-32.6,-2.79,-0.0,0.0,15.83,-4.08,-35.39,11.75,-23.64
371,-0.0,-0.0,-0.0,0.0,0.0,0.0,-32.92,-1.25,-0.0,-0.0,13.44,-4.24,-34.17,9.2,-24.97
381,0.0,0.0,-0.0,0.0,0.0,0.0,-33.9,5.47,-0.0,-0.0,8.19,-4.11,-28.44,4.08,-24.36
391,-0.0,-0.0,0.0,0.0,0.0,0.0,-31.23,3.85,-0.0,0.0,11.17,-4.19,-27.38,6.97,-20.41
401,0.0,-0.0,0.0,0.0,0.0,0.0,-35.88,1.58,0.0,0.0,13.62,-4.33,-34.29,9.29,-25.0
411,-0.0,-0.0,0.0,0.0,0.0,0.0,-33.18,1.78,-0.0,-0.0,12.92,-4.31,-31.4,8.61,-22.78
421,-0.0,0.0,-0.0,0.0,0.0,0.0,-38.19,-3.34,0.0,-0.0,18.34,-4.65,-41.52,13.69,-27.83
431,0.0,-0.0,-0.0,0.0,0.0,0.0,-30.46,-0.07,-0.0,0.0,12.41,-3.85,-30.53,8.56,-21.97
441,0.0,0.0,-0.0,0.0,0.0,0.0,-37.27,-0.46,0.0,-0.0,17.22,-4.17,-37.73,13.06,-24.67
451,-0.0,-0.0,0.0,0.0,0.0,0.0,-35.41,2.92,-0.0,-0.0,9.15,-3.97,-32.49,5.19,-27.3
461,-0.0,-0.0,-0.0,0.0,0.0,0.0,-32.96,-0.14,0.0,-0.0,14.22,-3.65,-33.09,10.57,-22.52
471,0.0,0.0,0.0,0.0,0.0,0.0,-33.79,-0.8,0.0,-0.0,12.51,-3.82,-34.59,8.69,-25.9
481,0.0,-0.0,-0.0,0.0,0.0,0.0,-35.21,-3.19,-0.0,0.0,18.0,-4.43,-38.39,13.57,-24.82
491,0.0,-0.0,0.0,0.0,0.0,0.0,-35.43,-3.14,0.0,0.0,16.06,-4.0,-38.57,12.05,-26.52
501,-0.0,0.0,0.0,0.0,0.0,0.0,-36.8,1.65,-0.0,-0.0,12.59,-4.27,-35.16,8.33,-26.83
511,0.0,0.0,0.0,0.0,0.0,0.0,-35.3,-3.3,-0.0,-0.0,16.34,-4.16,-38.6,12.19,-26.41
521,-0.0,0.0,0.0,0.0,0.0,0.0,-39.12,2.31,0.0,-0.0,14.84,-4.73,-36.82,10.12,-26.7
531,0.0,-0.0,-0.0,0.0,0.0,0.0,-32.09,-8.6,-0.0,-0.0,21.5,-3.69,-40.69,17.8,-22.89
541,-0.0,-0.0,-0.0,0.0,0.0,0.0,-30.67,-12.32,-0.0,-0.0,23.29,-3.82,-42.98,19.46,-23.52
551,0.0,0.0,0.0,0.0,0.0,0.0,-32.95,-7.49,-0.0,0.0,19.14,-3.79,-40.44,15.36,-25.08
561,-0.0,-0.0,-0.0,0.0,0.0,0.0,-35.58,-7.32,0.0,-0.0,22.82,-4.21,-42.9,18.61,-24.29
571,-0.0,-0.0,-0.0,0.0,0.0,0.0,-34.71,-2.22,-0.0,0.0,15.18,-3.86,-36.93,11.32,-25.6
581,0.0,-0.0,0.0,0.0,0.0,0.0,-35.71,-6.53,0.0,0.0,18.59,-3.81,-42.24,14.78,-27.46
591,-0.0,0.0,-0.0,0.0,0.0,0.0,-36.25,-5.43,0.0,-0.0,20.35,-4.12,-41.68,16.23,-25.44
601,0.0,0.0,-0.0,0.0,0.0,0.0,-38.09,-1.71,0.0,0.0,16.27,-4.24,-39.79,12.03,-27.76
611,-0.0,-0.0,-0.0,0.0,0.0,0.0,-34.66,-2.21,-0.0,-0.0,15.93,-4.21,-36.87,11.72,-25.14
621,-0.0,-0.0,0.0,0.0,0.0,0.0,-32.39,-6.13,0.0,0.0,18.41,-4.17,-38.52,14.24,-24.28
631,0.0,0.0,0.0,0.0,0.0,0.0,-30.9,-0.4,-0.0,-0.0,12.93,-3.75,-31.3,9.18,-22.12
641,0.0,0.0,0.0,0.0,0.0,0.0,-36.03,-12.92,0.0,0.0,26.92,-4.33,-48.95,22.59,-26.36
651,0.0,-0.0,0.0,0.0,0.0,0.0,-32.29,-4.98,0.0,-0.0,17.84,-3.71,-37.27,14.13,-23.14
661,0.0,-0.0,-0.0,0.0,0.0,0.0,-30.35,-10.7,-0.0,-0.0,23.64,-3.59,-41.05,20.06,-21.0
671,-0.0,0.0,0.0,0.0,0.0,0.0,-35.27,-3.66,0.0,0.0,17.93,-3.77,-38.93,14.16,-24.77
681,-0.0,-0.0,-0.0,0.0,0.0,0.0,-34.36,-1.71,-0.0,-0.0,14.08,-4.24,-36.08,9.85,-26.23
691,-0.0,0.0,0.0,0.0,0.0,0.0,-37.24,-6.04,-0.0,0.0,21.08,-4.46,-43.27,16.62,-26.65
701,-0.0,-0.0,0.0,0.0,0.0,0.0,-34.77,-6.52,-0.0,-0.0,19.89,-4.17,-41.28,15.72,-25.56
711,0.0,-0.0,0.0,0.0,0.0,0.0,-35.95,-8.2,-0.0,-0.0,21.61,-4.15,-44.15,17.46,-26.69
721,-0.0,0.0,-0.0,0.0,0.0,0.0,-35.87,-10.61,0.0,-0.0,25.08,-4.24,-46.47,20.84,-25.63
731,0.0,0.0,0.0,0.0,0.0,0.0,-33.97,-8.67,0.0,-0.0,21.29,-4.17,-42.65,17.11,-25.53
741,0.0,-0.0,0.0,0.0,0.0,0.0,-34.75,-7.26,-0.0,-0.0,20.0,-4.11,-42.02,15.89,-26.13
751,-0.0,-0.0,-0.0,0.0,0.0,0.0,-37.16,2.57,0.0,-0.0,13.45,-4.32,-34.59,9.13,-25.46
761,0.0,-0.0,-0.0,0.0,0.0,0.0,-35.02,-11.38,0.0,0.0,25.15,-3.99,-46.4,21.16,-25.24
771,-0.0,0.0,-0.0,0.0,0.0,0.0,-35.38,-1.31,0.0,-0.0,18.28,-4.57,-36.69,13.7,-22.98
781,0.0,-0.0,0.0,0.0,0.0,0.0,-40.33,-0.34,0.0,-0.0,16.87,-4.54,-40.66,12.33,-28.33
791,-0.0,-0.0,0.0,0.0,0.0,0.0,-34.52,-6.41,-0.0,0.0,19.89,-4.34,-40.93,15.55,-25.37
801,0.0,-0.0,0.0,0.0,0.0,0.0,-36.72,-8.34,0.0,-0.0,22.57,-4.38,-45.06,18.19,-26.87
811,-0.0,-0.0,0.0,0.0,0.0,0.0,-33.01,0.13,-0.0,0.0,13.06,-4.38,-32.88,8.68,-24.2
821,0.0,0.0,0.0,0.0,0.0,0.0,-33.65,-2.67,-0.0,-0.0,14.6,-4.21,-36.32,10.39,-25.93
