GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
61,0.0,0.0,0.0,0.0,0.0,0.0,337625054.2988,-236687.883,0.0,0.0,nan,0.0,337388366.4158,nan,nan
62,0.0,0.0,0.0,0.0,0.0,0.0,337088981.6663,-236555.9052,0.0,0.0,nan,0.0,336852425.7611,nan,nan
63,0.0,0.0,0.0,0.0,0.0,0.0,337443121.3134,-236751.5916,0.0,0.0,nan,0.0,337206369.72179997,nan,nan
64,0.0,0.0,0.0,0.0,0.0,0.0,338209811.2726,-236446.8802,0.0,0.0,nan,0.0,337973364.39239997,nan,nan
65,0.0,0.0,0.0,0.0,0.0,0.0,338360576.6954,-236295.1235,0.0,0.0,nan,0.0,338124281.5719,nan,nan
66,0.0,0.0,0.0,0.0,0.0,0.0,336717103.2753,-236562.0354,0.0,0.0,nan,0.0,336480541.23990005,nan,nan
67,0.0,0.0,0.0,0.0,0.0,0.0,337683453.3051,-236387.3146,0.0,0.0,nan,0.0,337447065.99050003,nan,nan
68,0.0,0.0,0.0,0.0,0.0,0.0,336718397.8774,-236600.7089,0.0,0.0,nan,0.0,336481797.1685,nan,nan
69,0.0,0.0,0.0,0.0,0.0,0.0,337277359.9324,-236520.9822,0.0,0.0,nan,0.0,337040838.95019996,nan,nan
70,0.0,0.0,0.0,0.0,0.0,0.0,337440610.7081,-236413.7979,0.0,0.0,nan,0.0,337204196.9102,nan,nan
71,0.0,0.0,0.0,0.0,0.0,0.0,337859553.4448,-236459.1361,0.0,0.0,nan,0.0,337623094.3087,nan,nan
72,0.0,0.0,0.0,0.0,0.0,0.0,337433893.5825,-236480.8342,0.0,0.0,nan,0.0,337197412.74829996,nan,nan
73,0.0,0.0,0.0,0.0,0.0,0.0,336967503.0272,-236360.0646,0.0,0.0,nan,0.0,336731142.9626,nan,nan
74,0.0,0.0,0.0,0.0,0.0,0.0,336341029.4915,-236502.3298,0.0,0.0,nan,0.0,336104527.1617,nan,nan
75,0.0,0.0,0.0,0.0,0.0,0.0,337134560.1907,-236510.009,0.0,0.0,nan,0.0,336898050.1817,nan,nan
76,0.0,0.0,0.0,0.0,0.0,0.0,337188798.6256,-236499.7642,0.0,0.0,nan,0.0,336952298.8614,nan,nan
77,0.0,0.0,0.0,0.0,0.0,0.0,336376750.0353,-236447.8561,0.0,0.0,nan,0.0,336140302.1792,nan,nan
78,0.0,0.0,0.0,0.0,0.0,0.0,336818579.2875,-236400.8206,0.0,0.0,nan,0.0,336582178.46690005,nan,nan
79,0.0,0.0,0.0,0.0,0.0,0.0,336951146.0456,-236379.5279,0.0,0.0,nan,0.0,336714766.5177,nan,nan
