smile,PfDHFR,PfATP4,PfCRT,rrs_score,rrs_class
Cc1cc(F)cc(CNC[C@H](O)c2ccccc2)c1,-7.2,-4.9,-9.3,8.25,A
Cc1cc(F)cc(CNC[C@@H](O)c2ccccc2)c1,-7.0,-6.4,-9.4,8.2,A
Cc1ccc([C@H](O)CNCc2ccc(CF)cc2)cc1,-7.3,-4.8,-8.7,8.0,A
Cc1ccc(C(O)CNCc2ccc(CF)cc2)cc1,-7.3,-4.9,-9.1,8.2,A
Cc1ccc([C@@H](O)CNCc2ccc(CF)cc2)cc1,-7.2,-4.8,-9.1,8.15,A
Oc1cc(F)cc(CNCC(O)c2ccccc2)c1,-7.5,-6.4,-9.5,8.5,A
Oc1cc(F)cc(CNC[C@@H](O)c2ccccc2)c1,-7.6,-6.0,-9.5,8.55,A
Oc1cc(Cl)cc(CNC[C@H](O)c2ccccc2)c1,-7.4,-5.3,-9.2,8.3,A
Oc1cc(F)cc(CNC[C@H](O)c2ccccc2)c1,-7.3,-6.4,-9.4,8.35,A
Oc1cc(Cl)cc(CNC[C@@H](O)c2ccccc2)c1,-7.0,-6.0,-9.6,8.3,A
Oc1cc(Cl)cc(CNCC(O)c2ccccc2)c1,-7.0,-6.0,-9.6,8.3,A
Oc1cc(Br)cc(CNC[C@H](O)c2ccccc2)c1,-7.1,-5.3,-9.2,8.149999999999999,A
COc1ccc([C@@H](O)CNCc2ccc(C)cc2)cc1,-7.0,-5.1,-8.8,7.9,B
COc1ccc(CNC[C@H](O)c2ccccc2)cc1,-7.4,-4.9,-8.9,8.15,A
Cc1ccc(CNCC(O)c2ccccc2)cc1C,-7.0,-4.7,-9.5,8.25,A
O=C(/C=C/c1ccccc1)C(F)(F)F,-7.0,-5.1,-7.9,7.45,B
O[C@@H](/C=C/c1ccccc1)C(F)(F)F,-7.0,-5.2,-7.7,7.35,B
O[C@@H](/C=C\c1ccccc1)C(F)(F)F,-7.4,-4.6,-7.6,7.5,B
CCCc1cc(OC)c2c(c1OC)OCO2,-7.4,-4.9,-7.4,7.4,B
C=CCc1cc2c(cc1OC)OCO2,-7.3,-4.6,-7.1,7.199999999999999,B
C/C=C/c1cc(OC)c2c(c1OC)OCO2,-7.8,-5.0,-7.8,7.8,B
COc1cc(C[C@@H](O)CC#N)c(OC)c2c1OCO2,-7.9,-5.8,-7.8,7.85,B
COc1cc(/C=C/C(C)=O)c(OC)c2c1OCO2,-7.6,-5.4,-8.1,7.85,B
C=Cc1cc(OC)c2c(c1)OCO2,-7.6,-4.5,-7.0,7.3,B
C=CCN(C)Cc1cc(OC)c2c(c1)OCO2,-7.4,-4.9,-7.1,7.25,B
C=Cc1c(C(=O)OC)cc(OC)c2c1OCO2,-7.3,-5.0,-7.6,7.449999999999999,B
C=CCc1cc2c(cc1OCC)OCO2,-7.0,-4.7,-7.0,7.0,B
C=CCc1cc2c(cc1OC(C)C)OCO2,-7.0,-5.0,-7.1,7.05,B
CCCc1cc(OC)c2c(c1)OCO2,-7.2,-4.7,-7.2,7.2,B
C=C[C@@H](C)NCc1cc2c(cc1OC)OCO2,-7.2,-5.4,-7.4,7.300000000000001,B
C=C(Cl)CNCc1cc(OC)c2c(c1)OCO2,-7.0,-5.4,-7.4,7.2,B
COc1cc(CC[C@@H](C)O)c(OC)c2c1OCO2,-7.4,-5.7,-8.0,7.7,B
COc1cc(CC[C@H](C)O)c(OC)c2c1OCO2,-7.1,-5.8,-7.8,7.449999999999999,B
COc1cc(O)cc2c1OCO2,-7.1,-4.6,-7.0,7.05,B
CCCNCc1cc(OC)c2c(c1)OCO2,-7.0,-5.0,-7.2,7.1,B
CCCN(C)Cc1cc(OC)c2c(c1)OCO2,-7.4,-5.0,-7.1,7.25,B
