sig_id,pert_id,pert_iname,cell_id,pert_idose,pert_itime
AML001_CD34_6H:BRD-A19037878:1.11111,BRD-A19037878,trichostatin-a,CD34,1 µM,6 h
AML001_CD34_6H:BRD-A19037878:10,BRD-A19037878,trichostatin-a,CD34,10 µM,6 h
AML001_CD34_6H:BRD-A19037878:3.33333,BRD-A19037878,trichostatin-a,CD34,3 µM,6 h
AML001_CD34_6H:BRD-A19500257:0.37037,BRD-A19500257,geldanamycin,CD34,500 nM,6 h
AML001_CD34_6H:BRD-A19500257:1.11111,BRD-A19500257,geldanamycin,CD34,1 µM,6 h
AML001_CD34_6H:BRD-A19500257:10,BRD-A19500257,geldanamycin,CD34,10 µM,6 h
AML001_CD34_6H:BRD-A19500257:3.33333,BRD-A19500257,geldanamycin,CD34,3 µM,6 h
AML001_CD34_6H:BRD-A34037822:0.37037,BRD-A34037822,KUC107191N,CD34,500 nM,6 h
AML001_CD34_6H:BRD-A34037822:1.11111,BRD-A34037822,KUC107191N,CD34,1 µM,6 h
AML001_CD34_6H:BRD-A34037822:10,BRD-A34037822,KUC107191N,CD34,10 µM,6 h
AML001_CD34_6H:BRD-A34037822:3.33333,BRD-A34037822,KUC107191N,CD34,3 µM,6 h
AML001_CD34_6H:BRD-A35207501:0.37037,BRD-A35207501,BRD-A35207501,CD34,500 nM,6 h
AML001_CD34_6H:BRD-A35207501:1.11111,BRD-A35207501,BRD-A35207501,CD34,1 µM,6 h
AML001_CD34_6H:BRD-A35207501:10,BRD-A35207501,BRD-A35207501,CD34,10 µM,6 h
AML001_CD34_6H:BRD-A35207501:3.33333,BRD-A35207501,BRD-A35207501,CD34,3 µM,6 h
AML001_CD34_6H:BRD-A45664787:0.37037,BRD-A45664787,iloprost,CD34,500 nM,6 h
AML001_CD34_6H:BRD-A45664787:1.11111,BRD-A45664787,iloprost,CD34,1 µM,6 h
AML001_CD34_6H:BRD-A45664787:10,BRD-A45664787,iloprost,CD34,10 µM,6 h
AML001_CD34_6H:BRD-A45664787:3.33333,BRD-A45664787,iloprost,CD34,3 µM,6 h
AML001_CD34_6H:BRD-A72498772:1.11111,BRD-A72498772,BRD-A72498772,CD34,1 µM,6 h
AML001_CD34_6H:BRD-A72498772:10,BRD-A72498772,BRD-A72498772,CD34,10 µM,6 h
AML001_CD34_6H:BRD-A72498772:3.33333,BRD-A72498772,BRD-A72498772,CD34,3 µM,6 h
AML001_CD34_6H:BRD-A72796238:0.37037,BRD-A72796238,BRD-A72796238,CD34,500 nM,6 h
AML001_CD34_6H:BRD-A72796238:1.11111,BRD-A72796238,BRD-A72796238,CD34,1 µM,6 h
AML001_CD34_6H:BRD-A72796238:10,BRD-A72796238,BRD-A72796238,CD34,10 µM,6 h
AML001_CD34_6H:BRD-A72796238:3.33333,BRD-A72796238,BRD-A72796238,CD34,3 µM,6 h
AML001_CD34_6H:BRD-A73513677:0.37037,BRD-A73513677,BRD-A73513677,CD34,500 nM,6 h
AML001_CD34_6H:BRD-A73513677:1.11111,BRD-A73513677,BRD-A73513677,CD34,1 µM,6 h
AML001_CD34_6H:BRD-A73513677:10,BRD-A73513677,BRD-A73513677,CD34,10 µM,6 h
AML001_CD34_6H:BRD-A73513677:3.33333,BRD-A73513677,BRD-A73513677,CD34,3 µM,6 h
AML001_CD34_6H:BRD-A73558769:0.37037,BRD-A73558769,BRD-A73558769,CD34,500 nM,6 h
AML001_CD34_6H:BRD-A73558769:1.11111,BRD-A73558769,BRD-A73558769,CD34,1 µM,6 h
AML001_CD34_6H:BRD-A73558769:10,BRD-A73558769,BRD-A73558769,CD34,10 µM,6 h
AML001_CD34_6H:BRD-A73558769:3.33333,BRD-A73558769,BRD-A73558769,CD34,3 µM,6 h
AML001_CD34_6H:BRD-A74382794:0.37037,BRD-A74382794,BRD-A74382794,CD34,500 nM,6 h
AML001_CD34_6H:BRD-A74382794:1.11111,BRD-A74382794,BRD-A74382794,CD34,1 µM,6 h
AML001_CD34_6H:BRD-A74382794:10,BRD-A74382794,BRD-A74382794,CD34,10 µM,6 h
AML001_CD34_6H:BRD-A74382794:3.33333,BRD-A74382794,BRD-A74382794,CD34,3 µM,6 h
AML001_CD34_6H:BRD-A75409952:0.37037,BRD-A75409952,wortmannin,CD34,500 nM,6 h
AML001_CD34_6H:BRD-A75409952:1.11111,BRD-A75409952,wortmannin,CD34,1 µM,6 h
AML001_CD34_6H:BRD-A75409952:10,BRD-A75409952,wortmannin,CD34,10 µM,6 h
AML001_CD34_6H:BRD-A75409952:3.33333,BRD-A75409952,wortmannin,CD34,3 µM,6 h
AML001_CD34_6H:BRD-A95504714:0.37037,BRD-A95504714,BRD-A95504714,CD34,500 nM,6 h
AML001_CD34_6H:BRD-A95504714:1.11111,BRD-A95504714,BRD-A95504714,CD34,1 µM,6 h
AML001_CD34_6H:BRD-A95504714:10,BRD-A95504714,BRD-A95504714,CD34,10 µM,6 h
AML001_CD34_6H:BRD-A95504714:3.33333,BRD-A95504714,BRD-A95504714,CD34,3 µM,6 h
AML001_CD34_6H:BRD-K03439359:0.37037,BRD-K03439359,BRD-K03439359,CD34,500 nM,6 h
AML001_CD34_6H:BRD-K03439359:1.11111,BRD-K03439359,BRD-K03439359,CD34,1 µM,6 h
AML001_CD34_6H:BRD-K03439359:10,BRD-K03439359,BRD-K03439359,CD34,10 µM,6 h
AML001_CD34_6H:BRD-K03439359:3.33333,BRD-K03439359,BRD-K03439359,CD34,3 µM,6 h
AML001_CD34_6H:BRD-K04986062:0.37037,BRD-K04986062,BRD-K04986062,CD34,500 nM,6 h
AML001_CD34_6H:BRD-K04986062:1.11111,BRD-K04986062,BRD-K04986062,CD34,1 µM,6 h
AML001_CD34_6H:BRD-K04986062:10,BRD-K04986062,BRD-K04986062,CD34,10 µM,6 h
AML001_CD34_6H:BRD-K04986062:3.33333,BRD-K04986062,BRD-K04986062,CD34,3 µM,6 h
AML001_CD34_6H:BRD-K05456756:0.37037,BRD-K05456756,BRD-K05456756,CD34,500 nM,6 h
AML001_CD34_6H:BRD-K05456756:1.11111,BRD-K05456756,BRD-K05456756,CD34,1 µM,6 h
AML001_CD34_6H:BRD-K05456756:10,BRD-K05456756,BRD-K05456756,CD34,10 µM,6 h
AML001_CD34_6H:BRD-K05456756:3.33333,BRD-K05456756,BRD-K05456756,CD34,3 µM,6 h
AML001_CD34_6H:BRD-K13077924:0.37037,BRD-K13077924,BRD-K13077924,CD34,500 nM,6 h
AML001_CD34_6H:BRD-K13077924:1.11111,BRD-K13077924,BRD-K13077924,CD34,1 µM,6 h
AML001_CD34_6H:BRD-K13077924:10,BRD-K13077924,BRD-K13077924,CD34,10 µM,6 h
AML001_CD34_6H:BRD-K13077924:3.33333,BRD-K13077924,BRD-K13077924,CD34,3 µM,6 h
AML001_CD34_6H:BRD-K16300438:0.37037,BRD-K16300438,BRD-K16300438,CD34,500 nM,6 h
AML001_CD34_6H:BRD-K16300438:1.11111,BRD-K16300438,BRD-K16300438,CD34,1 µM,6 h
AML001_CD34_6H:BRD-K16300438:10,BRD-K16300438,BRD-K16300438,CD34,10 µM,6 h
AML001_CD34_6H:BRD-K16300438:3.33333,BRD-K16300438,BRD-K16300438,CD34,3 µM,6 h
AML001_CD34_6H:BRD-K19706299:0.37037,BRD-K19706299,MRE-269,CD34,500 nM,6 h
AML001_CD34_6H:BRD-K19706299:1.11111,BRD-K19706299,MRE-269,CD34,1 µM,6 h
AML001_CD34_6H:BRD-K19706299:10,BRD-K19706299,MRE-269,CD34,10 µM,6 h
