centroid_id,best_target,best_score,best_exhaustiveness,best_tag,tag,pfDHFR,pfCRT,pfATP4,pfClpP
339,pfCRT,-8.136,64,original,original,-7.594,-8.136,-7.479,-4.616
340,pfATP4,-9.402,32,rerun,mixed,,,-9.402,
341,pfATP4,-8.206,32,rerun,mixed,,,-8.206,
342,pfCRT,-7.618,64,original,original,,-7.618,-7.603,-4.714
343,pfATP4,-7.389,64,original,original,,-6.783,-7.389,
344,pfATP4,-8.042,64,original,original,-5.641,-7.957,-8.042,-4.08
345,pfCRT,-10.662,64,original,original,-8.348,-10.662,-6.392,-4.363
346,pfATP4,-6.709,32,rerun,mixed,,,-6.709,
347,pfCRT,-12.185,64,original,original,-9.135,-12.185,-8.01,-5.303
348,pfCRT,-7.71,64,original,original,-6.708,-7.71,-7.089,-5.039
349,pfCRT,-6.604,64,original,original,-6.43,-6.604,-6.086,-3.859
350,pfDHFR,-7.151,64,original,original,-7.151,-6.98,-6.139,-3.923
351,pfCRT,-9.979,64,original,original,-6.199,-9.979,-7.264,-4.41
352,pfCRT,-8.691,64,original,original,-8.332,-8.691,-6.444,-4.272
353,pfATP4,-7.631,64,original,original,-7.592,-7.191,-7.631,-4.739
