Ligand,Vina_Score,Vinardo_Score,Best_Score,Category
ligand_66,-5.095,-3.8,-5.095,OTHERS
ligand_67,-5.533,-4.839,-5.533,OTHERS
ligand_68,-5.143,-4.133,-5.143,OTHERS
ligand_69,-5.198,-3.965,-5.198,OTHERS
ligand_6,-5.67,-4.455,-5.67,OTHERS
ligand_71,-4.781,-3.554,-4.781,OTHERS
ligand_72,-4.394,-3.934,-4.394,OTHERS
ligand_74,-5.964,-4.452,-5.964,OTHERS
ligand_75,-5.657,-3.79,-5.657,OTHERS
ligand_76,-4.966,-3.924,-4.966,OTHERS
ligand_77,-4.994,-4.501,-4.994,OTHERS
ligand_78,-5.251,-4.362,-5.251,OTHERS
ligand_79,-3.4,-2.95,-3.4,OTHERS
ligand_7,-5.43,-4.413,-5.43,OTHERS
ligand_80,-4.929,-4.219,-4.929,OTHERS
ligand_81,-4.968,-3.518,-4.968,OTHERS
ligand_82,-4.711,-3.945,-4.711,OTHERS
ligand_83,-5.963,-4.632,-5.963,OTHERS
ligand_84,-5.713,-4.926,-5.713,OTHERS
ligand_85,-5.735,-4.745,-5.735,OTHERS
ligand_86,-4.032,-3.391,-4.032,OTHERS
ligand_87,-6.176,-4.83,-6.176,OTHERS
ligand_88,-4.977,-4.03,-4.977,OTHERS
ligand_89,-4.759,-3.766,-4.759,OTHERS
ligand_8,-4.499,-3.098,-4.499,OTHERS
ligand_90,-5.081,-4.33,-5.081,OTHERS
ligand_91,-5.348,-3.933,-5.348,OTHERS
ligand_92,-5.131,-3.916,-5.131,OTHERS
ligand_93,-5.812,-4.815,-5.812,OTHERS
ligand_94,-5.181,-4.083,-5.181,OTHERS
ligand_95,-6.128,-4.697,-6.128,OTHERS
ligand_96,-5.124,-3.947,-5.124,OTHERS
ligand_97,-4.65,-4.113,-4.65,OTHERS
ligand_9,-4.581,-3.852,-4.581,OTHERS
