smile,PfDHFR,PfCRT,PfATP4,rrs_score,rrs_class
COc1cc2cc(C(=O)Nc3ccccc3)c(N)nc2cc1OC,13.9,-6.6,-9.7,,Unknown
COc1nc(Nc2ccc(C(C)C)cc2)nc(OC)n1,-1.8,-5.7,-9.1,,Unknown
Clc1ccc2[nH]c3c(NCCCN4CCOCC4)ncnc3c2c1,-2.7,-6.5,-8.6,,Unknown
OC(CNC1CCCC1)Cn1c2ccccc2c2ccccc21,-5.1,-5.8,-8.9,,Unknown
Clc1cc(Br)ccc1-c1ccc(CNCC2CCNCC2)o1,-2.4,-6.4,-9.1,,Unknown
CCOc1ccc(C2N(C)c3ccccc3N2C)cc1,-5.3,-5.6,-8.5,,Unknown
CCOc1cc(CNC(C)C(O)c2ccccc2)cc(Cl)c1OCC,-2.6,-5.8,-9.1,,Unknown
CCc1ccc(Nc2cc(C)nc3nc(C)nn23)cc1,-2.6,-6.0,-9.2,,Unknown
CCCCOc1ccc(C(=O)Nc2cc(C)on2)cc1,-0.4,-5.5,-8.4,,Unknown
CCN(Cc1ccccc1)C1CCN(Cc2cc(Br)ccc2O)CC1,-0.8,-6.2,-8.8,,Unknown
CC(C)(C)CC(C)(C)NCC(O)COc1ccc(Cl)cc1Cl,-2.1,-5.1,-8.7,,Unknown
COc1cc(SC)ccc1C(=O)N1CCCC(C)C1,1.3,-5.6,-7.3,,Unknown
COc1ccc2nc(C)cc(Nc3ccccc3O)c2c1,-5.7,-6.9,-9.8,,Unknown
Cc1cc(NC(=O)c2ccc(-c3ccccc3)cc2)no1,15.9,-6.5,-10.3,,Unknown
Cc1ccc(NC(=O)Nc2cccc(Cl)c2)cc1F,4.8,-6.2,-9.9,,Unknown
O=c1nc(C=Cc2ccc(Cl)cc2)oc2ccccc12,6.2,-6.1,-10.5,,Unknown
CCC(O)c1ccc(Br)cc1NC(=O)c1cccc(Cl)c1,-2.2,-6.3,-9.1,,Unknown
Cc1cc(Nc2cccc(F)c2)nc(NCc2ccccc2)n1,-6.2,-6.9,-10.2,,Unknown
O=C1CC(O)(C(F)(F)C(F)(F)F)Oc2ccccc21,-8.2,-6.4,-9.4,8.8,A
O=C(Nc1ccc(Br)cc1)Nc1cccc(Cl)c1,6.0,-5.8,-9.4,,Unknown
CCOc1ccc(CCNC(=O)c2cccs2)cc1OCC,-4.5,-5.7,-8.4,,Unknown
COc1ccc(-c2nonc2NC(=O)c2cccc(Cl)c2)cc1OC,-1.3,-6.8,-9.5,,Unknown
COCCn1c(C)nc2ccccc2c1=O,-6.2,-5.3,-7.1,,Unknown
CCOc1c(Cl)cc(CNCC(O)c2ccccc2)cc1OC,-3.9,-6.1,-9.0,,Unknown
